item_id,item_name,display_name,month_number,month,meal_swipes,quantity,quantity_unit,quantity_month_adjustment,spending,spending_unit,item_peak_quantity,quantity_normalized_to_item_peak
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,3,Mar,140430.0,41.0,cases,calendar-month purchase total divided by 2,1710.6,dollars,74.5,0.5503355704697986
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,4,Apr,258945.0,55.0,cases,calendar-month purchase total divided by 2,2331.62,dollars,74.5,0.738255033557047
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,5,May,154523.0,30.0,cases,calendar-month purchase total divided by 2,1288.05,dollars,74.5,0.40268456375838924
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,6,Jun,0.0,21.0,cases,calendar-month purchase total divided by 2,896.64,dollars,74.5,0.28187919463087246
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,7,Jul,0.0,13.0,cases,calendar-month purchase total divided by 2,554.99,dollars,74.5,0.174496644295302
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,8,Aug,51797.0,18.5,cases,calendar-month purchase total divided by 2,788.9949999999999,dollars,74.5,0.2483221476510067
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,9,Sep,376862.0,67.0,cases,calendar-month purchase total divided by 2,2856.74,dollars,74.5,0.8993288590604027
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,10,Oct,430403.0,74.5,cases,calendar-month purchase total divided by 2,3174.2650000000003,dollars,74.5,1.0
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,11,Nov,229883.0,33.0,cases,calendar-month purchase total divided by 2,1378.08,dollars,74.5,0.4429530201342282
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,12,Dec,231310.0,16.0,cases,calendar-month purchase total divided by 2,668.16,dollars,74.5,0.21476510067114093
222-33756,Mix Original,Mix Original,1,Jan,70283.0,4.5,cases,calendar-month purchase total divided by 2,402.5,dollars,17.0,0.2647058823529412
222-33756,Mix Original,Mix Original,2,Feb,277428.0,11.5,cases,calendar-month purchase total divided by 2,1029.5,dollars,17.0,0.6764705882352942
222-33756,Mix Original,Mix Original,3,Mar,140430.0,9.0,cases,calendar-month purchase total divided by 2,828.5,dollars,17.0,0.5294117647058824
222-33756,Mix Original,Mix Original,4,Apr,258945.0,9.0,cases,calendar-month purchase total divided by 2,823.0,dollars,17.0,0.5294117647058824
222-33756,Mix Original,Mix Original,5,May,154523.0,4.5,cases,calendar-month purchase total divided by 2,422.0,dollars,17.0,0.2647058823529412
222-33756,Mix Original,Mix Original,6,Jun,0.0,1.0,cases,calendar-month purchase total divided by 2,91.0,dollars,17.0,0.058823529411764705
222-33756,Mix Original,Mix Original,7,Jul,0.0,8.5,cases,calendar-month purchase total divided by 2,774.5,dollars,17.0,0.5
222-33756,Mix Original,Mix Original,8,Aug,51797.0,17.0,cases,calendar-month purchase total divided by 2,1571.5,dollars,17.0,1.0
222-33756,Mix Original,Mix Original,9,Sep,376862.0,12.5,cases,calendar-month purchase total divided by 2,1130.5,dollars,17.0,0.7352941176470589
222-33756,Mix Original,Mix Original,10,Oct,430403.0,11.0,cases,calendar-month purchase total divided by 2,983.5,dollars,17.0,0.6470588235294118
222-33756,Mix Original,Mix Original,11,Nov,229883.0,10.5,cases,calendar-month purchase total divided by 2,940.5,dollars,17.0,0.6176470588235294
222-33756,Mix Original,Mix Original,12,Dec,231310.0,2.5,cases,calendar-month purchase total divided by 2,217.5,dollars,17.0,0.14705882352941177
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,1,Jan,70283.0,5.0,cases,calendar-month purchase total divided by 2,747.51,dollars,22.0,0.22727272727272727
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,2,Feb,277428.0,21.5,cases,calendar-month purchase total divided by 2,3222.365,dollars,22.0,0.9772727272727273
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,3,Mar,140430.0,19.0,cases,calendar-month purchase total divided by 2,2874.29,dollars,22.0,0.8636363636363636
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,4,Apr,258945.0,19.5,cases,calendar-month purchase total divided by 2,2950.05,dollars,22.0,0.8863636363636364
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,5,May,154523.0,11.0,cases,calendar-month purchase total divided by 2,1663.15,dollars,22.0,0.5
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,6,Jun,0.0,7.0,cases,calendar-month purchase total divided by 2,1059.1100000000001,dollars,22.0,0.3181818181818182
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,7,Jul,0.0,5.5,cases,calendar-month purchase total divided by 2,808.905,dollars,22.0,0.25
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,8,Aug,51797.0,8.0,cases,calendar-month purchase total divided by 2,1017.675,dollars,22.0,0.36363636363636365
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,9,Sep,376862.0,22.0,cases,calendar-month purchase total divided by 2,2770.795,dollars,22.0,1.0
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,10,Oct,430403.0,22.0,cases,calendar-month purchase total divided by 2,2794.77,dollars,22.0,1.0
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,11,Nov,229883.0,9.5,cases,calendar-month purchase total divided by 2,1434.595,dollars,22.0,0.4318181818181818
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,12,Dec,231310.0,4.0,cases,calendar-month purchase total divided by 2,604.04,dollars,22.0,0.18181818181818182
0052332,Rice Sushi,Rice Sushi,1,Jan,70283.0,5.0,cases,calendar-month purchase total divided by 2,211.245,dollars,39.0,0.1282051282051282
0052332,Rice Sushi,Rice Sushi,2,Feb,277428.0,34.0,cases,calendar-month purchase total divided by 2,1490.3600000000001,dollars,39.0,0.8717948717948718
0052332,Rice Sushi,Rice Sushi,3,Mar,140430.0,27.5,cases,calendar-month purchase total divided by 2,1144.85,dollars,39.0,0.7051282051282052
0052332,Rice Sushi,Rice Sushi,4,Apr,258945.0,36.5,cases,calendar-month purchase total divided by 2,1506.645,dollars,39.0,0.9358974358974359
0052332,Rice Sushi,Rice Sushi,5,May,154523.0,15.0,cases,calendar-month purchase total divided by 2,595.35,dollars,39.0,0.38461538461538464
